sym,tf,thresh,tp,sl,horizon,rr,fires,fire_pct,trades_mo,wr,ev_trade,monthly_ev,wins,losses,timeouts
BTC/USDT,30m,0.3,0.01,0.008,4,1.2,14965,99.85,1437.9,36.6,-0.007,-10.345,1369,2368,11228
BTC/USDT,30m,0.3,0.01,0.008,6,1.2,14965,99.85,1437.9,37.8,-0.01,-13.802,1989,3272,9704
BTC/USDT,30m,0.3,0.01,0.008,8,1.2,14965,99.85,1437.9,38.9,-0.013,-18.901,2528,3971,8466
BTC/USDT,30m,0.3,0.01,0.008,12,1.2,14965,99.85,1437.9,39.6,-0.02,-29.153,3341,5087,6537
BTC/USDT,30m,0.3,0.01,0.008,16,1.2,14965,99.85,1437.9,40.4,-0.023,-32.41,3958,5834,5173
BTC/USDT,30m,0.3,0.01,0.008,20,1.2,14965,99.85,1437.9,40.8,-0.023,-33.629,4430,6426,4109
BTC/USDT,30m,0.3,0.01,0.008,24,1.2,14965,99.85,1437.9,41.3,-0.023,-32.987,4785,6804,3376
BTC/USDT,30m,0.3,0.01,0.008,36,1.2,14965,99.85,1437.9,42.8,-0.012,-17.142,5567,7449,1949
BTC/USDT,30m,0.3,0.01,0.008,48,1.2,14965,99.85,1437.9,43.6,-0.003,-3.909,5968,7708,1289
BTC/USDT,30m,0.3,0.015,0.008,4,1.9,14965,99.85,1437.9,18.7,-0.006,-8.345,553,2402,12010
BTC/USDT,30m,0.3,0.015,0.008,6,1.9,14965,99.85,1437.9,20.8,-0.008,-11.626,878,3344,10743
BTC/USDT,30m,0.3,0.015,0.008,8,1.9,14965,99.85,1437.9,22.6,-0.01,-13.953,1192,4074,9699
BTC/USDT,30m,0.3,0.015,0.008,12,1.9,14965,99.85,1437.9,25.2,-0.014,-20.332,1787,5292,7886
BTC/USDT,30m,0.3,0.015,0.008,16,1.9,14965,99.85,1437.9,26.8,-0.018,-25.75,2259,6157,6549
BTC/USDT,30m,0.3,0.015,0.008,20,1.9,14965,99.85,1437.9,28.1,-0.018,-25.63,2678,6857,5430
BTC/USDT,30m,0.3,0.015,0.008,24,1.9,14965,99.85,1437.9,29.0,-0.02,-28.667,3002,7348,4615
BTC/USDT,30m,0.3,0.015,0.008,36,1.9,14965,99.85,1437.9,31.1,-0.009,-12.465,3692,8183,3090
BTC/USDT,30m,0.3,0.015,0.008,48,1.9,14965,99.85,1437.9,32.6,0.0,0.023,4173,8627,2165
BTC/USDT,30m,0.3,0.015,0.01,4,1.5,14965,99.85,1437.9,25.6,-0.007,-10.405,567,1651,12747
BTC/USDT,30m,0.3,0.015,0.01,6,1.5,14965,99.85,1437.9,27.3,-0.01,-14.155,906,2415,11644
BTC/USDT,30m,0.3,0.015,0.01,8,1.5,14965,99.85,1437.9,29.0,-0.011,-15.742,1242,3044,10679
BTC/USDT,30m,0.3,0.015,0.01,12,1.5,14965,99.85,1437.9,31.4,-0.017,-24.142,1869,4087,9009
BTC/USDT,30m,0.3,0.015,0.01,16,1.5,14965,99.85,1437.9,32.4,-0.023,-32.694,2377,4959,7629
BTC/USDT,30m,0.3,0.015,0.01,20,1.5,14965,99.85,1437.9,33.5,-0.024,-34.532,2849,5660,6456
BTC/USDT,30m,0.3,0.015,0.01,24,1.5,14965,99.85,1437.9,34.2,-0.026,-37.22,3219,6181,5565
BTC/USDT,30m,0.3,0.015,0.01,36,1.5,14965,99.85,1437.9,36.2,-0.012,-17.634,4053,7136,3776
BTC/USDT,30m,0.3,0.015,0.01,48,1.5,14965,99.85,1437.9,37.8,-0.002,-2.168,4651,7662,2652
BTC/USDT,30m,0.3,0.02,0.008,4,2.5,14965,99.85,1437.9,9.5,-0.005,-7.888,252,2411,12302
BTC/USDT,30m,0.3,0.02,0.008,6,2.5,14965,99.85,1437.9,11.4,-0.008,-11.343,432,3364,11169
BTC/USDT,30m,0.3,0.02,0.008,8,2.5,14965,99.85,1437.9,12.7,-0.01,-13.857,601,4115,10249
BTC/USDT,30m,0.3,0.02,0.008,12,2.5,14965,99.85,1437.9,15.2,-0.012,-17.194,962,5358,8645
BTC/USDT,30m,0.3,0.02,0.008,16,2.5,14965,99.85,1437.9,16.7,-0.016,-23.398,1252,6256,7457
BTC/USDT,30m,0.3,0.02,0.008,20,2.5,14965,99.85,1437.9,18.0,-0.02,-28.425,1542,7011,6412
BTC/USDT,30m,0.3,0.02,0.008,24,2.5,14965,99.85,1437.9,19.4,-0.021,-30.547,1822,7548,5595
BTC/USDT,30m,0.3,0.02,0.008,36,2.5,14965,99.85,1437.9,22.8,-0.007,-9.693,2508,8507,3950
BTC/USDT,30m,0.3,0.02,0.008,48,2.5,14965,99.85,1437.9,24.7,0.002,3.049,2976,9069,2920
BTC/USDT,30m,0.3,0.02,0.01,4,2.0,14965,99.85,1437.9,13.5,-0.007,-10.001,260,1659,13046
BTC/USDT,30m,0.3,0.02,0.01,6,2.0,14965,99.85,1437.9,15.5,-0.01,-14.219,447,2432,12086
BTC/USDT,30m,0.3,0.02,0.01,8,2.0,14965,99.85,1437.9,17.0,-0.011,-16.307,629,3079,11257
BTC/USDT,30m,0.3,0.02,0.01,12,2.0,14965,99.85,1437.9,19.6,-0.015,-21.372,1010,4147,9808
BTC/USDT,30m,0.3,0.02,0.01,16,2.0,14965,99.85,1437.9,20.8,-0.021,-30.121,1328,5052,8585
BTC/USDT,30m,0.3,0.02,0.01,20,2.0,14965,99.85,1437.9,22.1,-0.027,-38.566,1649,5802,7514
BTC/USDT,30m,0.3,0.02,0.01,24,2.0,14965,99.85,1437.9,23.5,-0.028,-40.472,1955,6361,6649
BTC/USDT,30m,0.3,0.02,0.01,36,2.0,14965,99.85,1437.9,26.8,-0.015,-21.074,2730,7455,4780
BTC/USDT,30m,0.3,0.02,0.01,48,2.0,14965,99.85,1437.9,28.8,-0.007,-9.655,3285,8118,3562
BTC/USDT,30m,0.3,0.02,0.015,4,1.3,14965,99.85,1437.9,28.1,-0.007,-10.498,265,678,14022
BTC/USDT,30m,0.3,0.02,0.015,6,1.3,14965,99.85,1437.9,29.4,-0.01,-14.044,460,1104,13401
BTC/USDT,30m,0.3,0.02,0.015,8,1.3,14965,99.85,1437.9,29.9,-0.011,-15.113,650,1522,12793
BTC/USDT,30m,0.3,0.02,0.015,12,1.3,14965,99.85,1437.9,32.2,-0.012,-17.74,1072,2256,11637
BTC/USDT,30m,0.3,0.02,0.015,16,1.3,14965,99.85,1437.9,32.6,-0.02,-29.133,1429,2956,10580
BTC/USDT,30m,0.3,0.02,0.015,20,1.3,14965,99.85,1437.9,33.5,-0.028,-40.126,1794,3561,9610
BTC/USDT,30m,0.3,0.02,0.015,24,1.3,14965,99.85,1437.9,34.3,-0.034,-48.274,2155,4119,8691
BTC/USDT,30m,0.3,0.02,0.015,36,1.3,14965,99.85,1437.9,36.4,-0.033,-47.443,3051,5321,6593
BTC/USDT,30m,0.3,0.02,0.015,48,1.3,14965,99.85,1437.9,37.9,-0.031,-44.273,3730,6122,5113
BTC/USDT,30m,0.3,0.025,0.008,4,3.1,14965,99.85,1437.9,4.1,-0.007,-10.247,104,2419,12442
BTC/USDT,30m,0.3,0.025,0.008,6,3.1,14965,99.85,1437.9,5.5,-0.01,-14.577,196,3378,11391
BTC/USDT,30m,0.3,0.025,0.008,8,3.1,14965,99.85,1437.9,7.0,-0.012,-16.887,309,4132,10524
BTC/USDT,30m,0.3,0.025,0.008,12,3.1,14965,99.85,1437.9,8.8,-0.015,-21.082,519,5394,9052
BTC/USDT,30m,0.3,0.025,0.008,16,3.1,14965,99.85,1437.9,10.7,-0.018,-26.269,753,6317,7895
BTC/USDT,30m,0.3,0.025,0.008,20,3.1,14965,99.85,1437.9,11.5,-0.022,-32.018,920,7082,6963
BTC/USDT,30m,0.3,0.025,0.008,24,3.1,14965,99.85,1437.9,12.4,-0.025,-36.661,1083,7639,6243
BTC/USDT,30m,0.3,0.025,0.008,36,3.1,14965,99.85,1437.9,15.8,-0.016,-23.538,1624,8668,4673
BTC/USDT,30m,0.3,0.025,0.008,48,3.1,14965,99.85,1437.9,17.7,-0.009,-13.19,1995,9292,3678
BTC/USDT,30m,0.3,0.025,0.01,4,2.5,14965,99.85,1437.9,6.1,-0.009,-12.427,109,1665,13191
BTC/USDT,30m,0.3,0.025,0.01,6,2.5,14965,99.85,1437.9,7.7,-0.012,-17.568,203,2443,12319
BTC/USDT,30m,0.3,0.025,0.01,8,2.5,14965,99.85,1437.9,9.3,-0.014,-19.921,318,3094,11553
BTC/USDT,30m,0.3,0.025,0.01,12,2.5,14965,99.85,1437.9,11.5,-0.018,-25.37,543,4176,10246
BTC/USDT,30m,0.3,0.025,0.01,16,2.5,14965,99.85,1437.9,13.5,-0.023,-33.162,797,5104,9064
BTC/USDT,30m,0.3,0.025,0.01,20,2.5,14965,99.85,1437.9,14.4,-0.03,-42.604,983,5866,8116
BTC/USDT,30m,0.3,0.025,0.01,24,2.5,14965,99.85,1437.9,15.3,-0.033,-47.412,1162,6443,7360
BTC/USDT,30m,0.3,0.025,0.01,36,2.5,14965,99.85,1437.9,18.9,-0.025,-36.064,1771,7592,5602
BTC/USDT,30m,0.3,0.025,0.01,48,2.5,14965,99.85,1437.9,21.0,-0.019,-27.834,2211,8336,4418
BTC/USDT,30m,0.3,0.025,0.015,4,1.7,14965,99.85,1437.9,14.0,-0.009,-13.037,111,681,14173
BTC/USDT,30m,0.3,0.025,0.015,6,1.7,14965,99.85,1437.9,16.0,-0.012,-17.369,211,1108,13646
BTC/USDT,30m,0.3,0.025,0.015,8,1.7,14965,99.85,1437.9,17.7,-0.013,-18.618,330,1530,13105
BTC/USDT,30m,0.3,0.025,0.015,12,1.7,14965,99.85,1437.9,20.3,-0.015,-21.913,580,2279,12106
BTC/USDT,30m,0.3,0.025,0.015,16,1.7,14965,99.85,1437.9,22.3,-0.022,-32.204,860,2990,11115
BTC/USDT,30m,0.3,0.025,0.015,20,1.7,14965,99.85,1437.9,23.0,-0.031,-43.926,1075,3609,10281
BTC/USDT,30m,0.3,0.025,0.015,24,1.7,14965,99.85,1437.9,23.5,-0.039,-55.359,1287,4181,9497
BTC/USDT,30m,0.3,0.025,0.015,36,1.7,14965,99.85,1437.9,26.8,-0.046,-65.793,1986,5430,7549
BTC/USDT,30m,0.3,0.025,0.015,48,1.7,14965,99.85,1437.9,28.7,-0.045,-65.048,2535,6307,6123
BTC/USDT,30m,0.3,0.025,0.02,4,1.2,14965,99.85,1437.9,25.7,-0.01,-14.373,111,321,14533
BTC/USDT,30m,0.3,0.025,0.02,6,1.2,14965,99.85,1437.9,27.2,-0.013,-18.998,214,573,14178
BTC/USDT,30m,0.3,0.025,0.02,8,1.2,14965,99.85,1437.9,29.2,-0.016,-22.504,335,814,13816
BTC/USDT,30m,0.3,0.025,0.02,12,1.2,14965,99.85,1437.9,31.0,-0.02,-28.649,592,1317,13056
BTC/USDT,30m,0.3,0.025,0.02,16,1.2,14965,99.85,1437.9,32.9,-0.027,-38.625,879,1789,12297
BTC/USDT,30m,0.3,0.025,0.02,20,1.2,14965,99.85,1437.9,32.9,-0.037,-53.571,1101,2244,11620
BTC/USDT,30m,0.3,0.025,0.02,24,1.2,14965,99.85,1437.9,33.0,-0.048,-68.987,1324,2685,10956
BTC/USDT,30m,0.3,0.025,0.02,36,1.2,14965,99.85,1437.9,35.1,-0.06,-86.931,2086,3865,9014
BTC/USDT,30m,0.3,0.025,0.02,48,1.2,14965,99.85,1437.9,36.5,-0.068,-98.401,2712,4728,7525
BTC/USDT,30m,0.3,0.03,0.008,4,3.8,14965,99.85,1437.9,2.2,-0.008,-11.18,55,2421,12489
BTC/USDT,30m,0.3,0.03,0.008,6,3.8,14965,99.85,1437.9,3.0,-0.01,-15.042,103,3382,11480
BTC/USDT,30m,0.3,0.03,0.008,8,3.8,14965,99.85,1437.9,3.7,-0.012,-17.837,160,4138,10667
BTC/USDT,30m,0.3,0.03,0.008,12,3.8,14965,99.85,1437.9,4.9,-0.016,-23.39,279,5406,9280
BTC/USDT,30m,0.3,0.03,0.008,16,3.8,14965,99.85,1437.9,6.3,-0.02,-28.492,428,6334,8203
BTC/USDT,30m,0.3,0.03,0.008,20,3.8,14965,99.85,1437.9,7.5,-0.024,-34.49,574,7109,7282
BTC/USDT,30m,0.3,0.03,0.008,24,3.8,14965,99.85,1437.9,8.2,-0.028,-39.817,684,7674,6607
BTC/USDT,30m,0.3,0.03,0.008,36,3.8,14965,99.85,1437.9,10.9,-0.02,-29.311,1074,8735,5156
BTC/USDT,30m,0.3,0.03,0.008,48,3.8,14965,99.85,1437.9,12.8,-0.017,-25.086,1383,9409,4173
BTC/USDT,30m,0.3,0.03,0.01,4,3.0,14965,99.85,1437.9,3.3,-0.01,-13.674,57,1667,13241
BTC/USDT,30m,0.3,0.03,0.01,6,3.0,14965,99.85,1437.9,4.2,-0.013,-18.542,106,2447,12412
BTC/USDT,30m,0.3,0.03,0.01,8,3.0,14965,99.85,1437.9,5.0,-0.015,-21.55,163,3101,11701
BTC/USDT,30m,0.3,0.03,0.01,12,3.0,14965,99.85,1437.9,6.5,-0.02,-28.801,291,4190,10484
BTC/USDT,30m,0.3,0.03,0.01,16,3.0,14965,99.85,1437.9,8.1,-0.026,-37.404,454,5125,9386
BTC/USDT,30m,0.3,0.03,0.01,20,3.0,14965,99.85,1437.9,9.4,-0.033,-47.254,609,5897,8459
BTC/USDT,30m,0.3,0.03,0.01,24,3.0,14965,99.85,1437.9,10.2,-0.037,-52.655,735,6483,7747
BTC/USDT,30m,0.3,0.03,0.01,36,3.0,14965,99.85,1437.9,13.3,-0.029,-42.077,1173,7658,6134
BTC/USDT,30m,0.3,0.03,0.01,48,3.0,14965,99.85,1437.9,15.5,-0.027,-39.149,1545,8450,4970
BTC/USDT,30m,0.3,0.03,0.015,4,2.0,14965,99.85,1437.9,7.7,-0.01,-14.363,57,682,14226
BTC/USDT,30m,0.3,0.03,0.015,6,2.0,14965,99.85,1437.9,9.2,-0.013,-18.321,112,1112,13741
BTC/USDT,30m,0.3,0.03,0.015,8,2.0,14965,99.85,1437.9,10.0,-0.014,-20.022,171,1536,13258
BTC/USDT,30m,0.3,0.03,0.015,12,2.0,14965,99.85,1437.9,11.9,-0.018,-25.357,310,2291,12364
BTC/USDT,30m,0.3,0.03,0.015,16,2.0,14965,99.85,1437.9,14.1,-0.025,-36.294,494,3009,11462
BTC/USDT,30m,0.3,0.03,0.015,20,2.0,14965,99.85,1437.9,15.6,-0.034,-48.193,674,3635,10656
BTC/USDT,30m,0.3,0.03,0.015,24,2.0,14965,99.85,1437.9,16.3,-0.042,-59.977,820,4212,9933
BTC/USDT,30m,0.3,0.03,0.015,36,2.0,14965,99.85,1437.9,19.5,-0.048,-69.426,1330,5480,8155
BTC/USDT,30m,0.3,0.03,0.015,48,2.0,14965,99.85,1437.9,21.8,-0.051,-74.019,1776,6388,6801
BTC/USDT,30m,0.3,0.03,0.02,4,1.5,14965,99.85,1437.9,15.1,-0.011,-15.673,57,321,14587
BTC/USDT,30m,0.3,0.03,0.02,6,1.5,14965,99.85,1437.9,16.4,-0.014,-20.072,113,576,14276
BTC/USDT,30m,0.3,0.03,0.02,8,1.5,14965,99.85,1437.9,17.5,-0.017,-24.074,173,817,13975
BTC/USDT,30m,0.3,0.03,0.02,12,1.5,14965,99.85,1437.9,19.5,-0.022,-31.473,319,1321,13325
BTC/USDT,30m,0.3,0.03,0.02,16,1.5,14965,99.85,1437.9,21.9,-0.029,-41.455,505,1796,12664
BTC/USDT,30m,0.3,0.03,0.02,20,1.5,14965,99.85,1437.9,23.4,-0.039,-56.326,687,2253,12025
BTC/USDT,30m,0.3,0.03,0.02,24,1.5,14965,99.85,1437.9,23.6,-0.05,-72.451,836,2701,11428
BTC/USDT,30m,0.3,0.03,0.02,36,1.5,14965,99.85,1437.9,26.3,-0.062,-89.676,1387,3895,9683
BTC/USDT,30m,0.3,0.03,0.02,48,1.5,14965,99.85,1437.9,28.3,-0.075,-107.857,1889,4788,8288
BTC/USDT,30m,0.3,0.03,0.025,4,1.2,14965,99.85,1437.9,27.1,-0.011,-16.174,57,153,14755
BTC/USDT,30m,0.3,0.03,0.025,6,1.2,14965,99.85,1437.9,27.6,-0.015,-21.722,114,299,14552
BTC/USDT,30m,0.3,0.03,0.025,8,1.2,14965,99.85,1437.9,27.0,-0.019,-27.943,174,471,14320
BTC/USDT,30m,0.3,0.03,0.025,12,1.2,14965,99.85,1437.9,28.4,-0.027,-39.339,321,808,13836
BTC/USDT,30m,0.3,0.03,0.025,16,1.2,14965,99.85,1437.9,31.1,-0.036,-51.72,507,1121,13337
BTC/USDT,30m,0.3,0.03,0.025,20,1.2,14965,99.85,1437.9,32.1,-0.048,-68.946,692,1467,12806
BTC/USDT,30m,0.3,0.03,0.025,24,1.2,14965,99.85,1437.9,31.6,-0.061,-87.656,846,1832,12287
BTC/USDT,30m,0.3,0.03,0.025,36,1.2,14965,99.85,1437.9,33.1,-0.083,-118.924,1406,2838,10721
BTC/USDT,30m,0.3,0.03,0.025,48,1.2,14965,99.85,1437.9,34.5,-0.101,-145.02,1931,3671,9363
BTC/USDT,30m,0.3,0.04,0.008,4,5.0,14965,99.85,1437.9,1.0,-0.007,-10.041,24,2422,12519
BTC/USDT,30m,0.3,0.04,0.008,6,5.0,14965,99.85,1437.9,1.1,-0.01,-14.578,38,3385,11542
BTC/USDT,30m,0.3,0.04,0.008,8,5.0,14965,99.85,1437.9,1.5,-0.012,-16.737,63,4143,10759
BTC/USDT,30m,0.3,0.04,0.008,12,5.0,14965,99.85,1437.9,2.2,-0.014,-19.698,120,5413,9432
BTC/USDT,30m,0.3,0.04,0.008,16,5.0,14965,99.85,1437.9,2.7,-0.016,-23.653,177,6341,8447
BTC/USDT,30m,0.3,0.04,0.008,20,5.0,14965,99.85,1437.9,3.4,-0.02,-29.329,248,7122,7595
BTC/USDT,30m,0.3,0.04,0.008,24,5.0,14965,99.85,1437.9,3.9,-0.025,-36.225,311,7693,6961
BTC/USDT,30m,0.3,0.04,0.008,36,5.0,14965,99.85,1437.9,5.5,-0.021,-29.885,512,8785,5668
BTC/USDT,30m,0.3,0.04,0.008,48,5.0,14965,99.85,1437.9,7.3,-0.014,-19.696,746,9481,4738
BTC/USDT,30m,0.3,0.04,0.01,4,4.0,14965,99.85,1437.9,1.5,-0.009,-12.448,25,1668,13272
BTC/USDT,30m,0.3,0.04,0.01,6,4.0,14965,99.85,1437.9,1.6,-0.012,-17.833,41,2449,12475
BTC/USDT,30m,0.3,0.04,0.01,8,4.0,14965,99.85,1437.9,2.1,-0.014,-20.152,66,3104,11795
BTC/USDT,30m,0.3,0.04,0.01,12,4.0,14965,99.85,1437.9,2.9,-0.017,-24.764,125,4196,10644
BTC/USDT,30m,0.3,0.04,0.01,16,4.0,14965,99.85,1437.9,3.5,-0.022,-31.972,186,5132,9647
BTC/USDT,30m,0.3,0.04,0.01,20,4.0,14965,99.85,1437.9,4.3,-0.029,-41.552,264,5910,8791
BTC/USDT,30m,0.3,0.04,0.01,24,4.0,14965,99.85,1437.9,5.0,-0.034,-48.285,339,6501,8125
BTC/USDT,30m,0.3,0.04,0.01,36,4.0,14965,99.85,1437.9,6.8,-0.029,-41.535,560,7694,6711
BTC/USDT,30m,0.3,0.04,0.01,48,4.0,14965,99.85,1437.9,8.9,-0.022,-31.849,828,8510,5627
BTC/USDT,30m,0.3,0.04,0.015,4,2.7,14965,99.85,1437.9,3.5,-0.009,-13.185,25,683,14257
BTC/USDT,30m,0.3,0.04,0.015,6,2.7,14965,99.85,1437.9,3.8,-0.012,-17.597,44,1114,13807
BTC/USDT,30m,0.3,0.04,0.015,8,2.7,14965,99.85,1437.9,4.4,-0.013,-18.606,71,1538,13356
BTC/USDT,30m,0.3,0.04,0.015,12,2.7,14965,99.85,1437.9,5.4,-0.015,-21.533,132,2295,12538
BTC/USDT,30m,0.3,0.04,0.015,16,2.7,14965,99.85,1437.9,6.2,-0.021,-30.623,199,3015,11751
BTC/USDT,30m,0.3,0.04,0.015,20,2.7,14965,99.85,1437.9,7.3,-0.029,-41.42,287,3645,11033
BTC/USDT,30m,0.3,0.04,0.015,24,2.7,14965,99.85,1437.9,8.1,-0.038,-54.134,370,4223,10372
BTC/USDT,30m,0.3,0.04,0.015,36,2.7,14965,99.85,1437.9,10.3,-0.047,-67.927,636,5512,8817
BTC/USDT,30m,0.3,0.04,0.015,48,2.7,14965,99.85,1437.9,12.9,-0.047,-67.191,955,6439,7571
BTC/USDT,30m,0.3,0.04,0.02,4,2.0,14965,99.85,1437.9,7.2,-0.01,-14.5,25,321,14619
BTC/USDT,30m,0.3,0.04,0.02,6,2.0,14965,99.85,1437.9,7.1,-0.013,-19.199,44,576,14345
BTC/USDT,30m,0.3,0.04,0.02,8,2.0,14965,99.85,1437.9,8.1,-0.016,-22.578,72,817,14076
BTC/USDT,30m,0.3,0.04,0.02,12,2.0,14965,99.85,1437.9,9.4,-0.019,-27.421,138,1324,13503
BTC/USDT,30m,0.3,0.04,0.02,16,2.0,14965,99.85,1437.9,10.4,-0.024,-34.976,209,1800,12956
BTC/USDT,30m,0.3,0.04,0.02,20,2.0,14965,99.85,1437.9,11.7,-0.034,-48.279,299,2257,12409
BTC/USDT,30m,0.3,0.04,0.02,24,2.0,14965,99.85,1437.9,12.4,-0.045,-65.04,384,2706,11875
BTC/USDT,30m,0.3,0.04,0.02,36,2.0,14965,99.85,1437.9,14.6,-0.061,-87.248,669,3919,10377
BTC/USDT,30m,0.3,0.04,0.02,48,2.0,14965,99.85,1437.9,17.4,-0.07,-101.291,1015,4831,9119
BTC/USDT,30m,0.3,0.04,0.025,4,1.6,14965,99.85,1437.9,14.0,-0.01,-15.002,25,153,14787
BTC/USDT,30m,0.3,0.04,0.025,6,1.6,14965,99.85,1437.9,12.8,-0.014,-20.84,44,299,14622
BTC/USDT,30m,0.3,0.04,0.025,8,1.6,14965,99.85,1437.9,13.3,-0.019,-26.662,72,471,14422
BTC/USDT,30m,0.3,0.04,0.025,12,1.6,14965,99.85,1437.9,14.6,-0.025,-35.45,138,810,14017
BTC/USDT,30m,0.3,0.04,0.025,16,1.6,14965,99.85,1437.9,15.7,-0.031,-45.191,209,1123,13633
BTC/USDT,30m,0.3,0.04,0.025,20,1.6,14965,99.85,1437.9,17.1,-0.042,-60.503,302,1469,13194
BTC/USDT,30m,0.3,0.04,0.025,24,1.6,14965,99.85,1437.9,17.5,-0.055,-79.701,390,1835,12740
BTC/USDT,30m,0.3,0.04,0.025,36,1.6,14965,99.85,1437.9,19.3,-0.08,-115.374,681,2850,11434
BTC/USDT,30m,0.3,0.04,0.025,48,1.6,14965,99.85,1437.9,21.9,-0.095,-136.573,1034,3693,10238
BTC/USDT,30m,0.3,0.05,0.008,4,6.2,14965,99.85,1437.9,0.2,-0.007,-10.404,4,2422,12539
BTC/USDT,30m,0.3,0.05,0.008,6,6.2,14965,99.85,1437.9,0.2,-0.011,-15.126,8,3385,11572
BTC/USDT,30m,0.3,0.05,0.008,8,6.2,14965,99.85,1437.9,0.4,-0.012,-16.595,18,4143,10804
BTC/USDT,30m,0.3,0.05,0.008,12,6.2,14965,99.85,1437.9,1.0,-0.013,-18.938,52,5413,9500
BTC/USDT,30m,0.3,0.05,0.008,16,6.2,14965,99.85,1437.9,1.3,-0.016,-22.979,82,6343,8540
BTC/USDT,30m,0.3,0.05,0.008,20,6.2,14965,99.85,1437.9,1.5,-0.02,-29.198,110,7128,7727
BTC/USDT,30m,0.3,0.05,0.008,24,6.2,14965,99.85,1437.9,1.9,-0.025,-35.959,148,7704,7113
BTC/USDT,30m,0.3,0.05,0.008,36,6.2,14965,99.85,1437.9,2.6,-0.024,-34.496,235,8801,5929
BTC/USDT,30m,0.3,0.05,0.008,48,6.2,14965,99.85,1437.9,3.5,-0.021,-29.575,347,9510,5108
BTC/USDT,30m,0.3,0.05,0.01,4,5.0,14965,99.85,1437.9,0.2,-0.009,-12.795,4,1668,13293
BTC/USDT,30m,0.3,0.05,0.01,6,5.0,14965,99.85,1437.9,0.4,-0.013,-18.332,9,2449,12507
BTC/USDT,30m,0.3,0.05,0.01,8,5.0,14965,99.85,1437.9,0.6,-0.014,-20.085,19,3104,11842
BTC/USDT,30m,0.3,0.05,0.01,12,5.0,14965,99.85,1437.9,1.3,-0.017,-23.963,54,4196,10715
BTC/USDT,30m,0.3,0.05,0.01,16,5.0,14965,99.85,1437.9,1.6,-0.022,-31.272,86,5134,9745
BTC/USDT,30m,0.3,0.05,0.01,20,5.0,14965,99.85,1437.9,1.9,-0.029,-41.159,117,5915,8933
BTC/USDT,30m,0.3,0.05,0.01,24,5.0,14965,99.85,1437.9,2.4,-0.033,-47.686,163,6510,8292
BTC/USDT,30m,0.3,0.05,0.01,36,5.0,14965,99.85,1437.9,3.2,-0.032,-46.536,256,7709,7000
BTC/USDT,30m,0.3,0.05,0.01,48,5.0,14965,99.85,1437.9,4.3,-0.03,-43.015,388,8541,6036
BTC/USDT,30m,0.3,0.05,0.015,4,3.3,14965,99.85,1437.9,0.6,-0.009,-13.532,4,683,14278
BTC/USDT,30m,0.3,0.05,0.015,6,3.3,14965,99.85,1437.9,0.9,-0.013,-18.04,10,1114,13841
BTC/USDT,30m,0.3,0.05,0.015,8,3.3,14965,99.85,1437.9,1.4,-0.013,-18.256,22,1538,13405
BTC/USDT,30m,0.3,0.05,0.015,12,3.3,14965,99.85,1437.9,2.5,-0.014,-20.404,59,2295,12611
BTC/USDT,30m,0.3,0.05,0.015,16,3.3,14965,99.85,1437.9,3.0,-0.02,-29.473,94,3016,11855
BTC/USDT,30m,0.3,0.05,0.015,20,3.3,14965,99.85,1437.9,3.5,-0.028,-40.2,132,3647,11186
BTC/USDT,30m,0.3,0.05,0.015,24,3.3,14965,99.85,1437.9,4.2,-0.036,-51.834,186,4226,10553
BTC/USDT,30m,0.3,0.05,0.015,36,3.3,14965,99.85,1437.9,5.2,-0.048,-69.714,305,5520,9140
BTC/USDT,30m,0.3,0.05,0.015,48,3.3,14965,99.85,1437.9,6.7,-0.052,-75.308,466,6466,8033
BTC/USDT,30m,0.3,0.05,0.02,4,2.5,14965,99.85,1437.9,1.2,-0.01,-14.848,4,321,14640
BTC/USDT,30m,0.3,0.05,0.02,6,2.5,14965,99.85,1437.9,1.7,-0.014,-19.642,10,576,14379
BTC/USDT,30m,0.3,0.05,0.02,8,2.5,14965,99.85,1437.9,2.6,-0.015,-22.211,22,817,14126
BTC/USDT,30m,0.3,0.05,0.02,12,2.5,14965,99.85,1437.9,4.5,-0.018,-26.481,62,1324,13579
BTC/USDT,30m,0.3,0.05,0.02,16,2.5,14965,99.85,1437.9,5.2,-0.023,-33.697,99,1800,13066
BTC/USDT,30m,0.3,0.05,0.02,20,2.5,14965,99.85,1437.9,5.8,-0.033,-46.936,138,2257,12570
BTC/USDT,30m,0.3,0.05,0.02,24,2.5,14965,99.85,1437.9,6.7,-0.043,-62.311,193,2706,12066
BTC/USDT,30m,0.3,0.05,0.02,36,2.5,14965,99.85,1437.9,7.6,-0.061,-88.333,324,3919,10722
BTC/USDT,30m,0.3,0.05,0.02,48,2.5,14965,99.85,1437.9,9.3,-0.075,-108.524,497,4840,9628
BTC/USDT,30m,0.3,0.05,0.025,4,2.0,14965,99.85,1437.9,2.5,-0.011,-15.349,4,153,14808
BTC/USDT,30m,0.3,0.05,0.025,6,2.0,14965,99.85,1437.9,3.2,-0.015,-21.283,10,299,14656
BTC/USDT,30m,0.3,0.05,0.025,8,2.0,14965,99.85,1437.9,4.5,-0.018,-26.296,22,471,14472
BTC/USDT,30m,0.3,0.05,0.025,12,2.0,14965,99.85,1437.9,7.1,-0.024,-34.51,62,810,14093
